defect_id,order_id,equipment_id,defect_type,severity,defect_date,defect_status
1,171,5,Поверхностный,1,2025-12-10,устранён
2,120,1,Геометрический,5,2025-11-09,устранён
3,121,4,Поверхностный,1,2025-11-20,списан
4,117,2,Размерный,2,2025-07-22,устранён
5,146,5,Размерный,2,2025-12-31,на доработке
6,42,4,Геометрический,5,2025-03-23,устранён
7,14,1,Геометрический,4,2025-12-04,устранён
8,120,3,Размерный,1,2025-07-24,устранён
9,15,4,Геометрический,3,2025-12-12,списан
10,217,2,Поверхностный,4,2025-12-04,на доработке
11,131,2,Геометрический,2,2025-10-02,устранён
12,161,4,Геометрический,3,2025-12-29,на доработке
13,154,3,Размерный,4,2025-12-22,списан
14,7,6,Поверхностный,4,2025-07-08,на доработке
15,129,1,Геометрический,2,2025-04-28,на доработке
16,186,5,Сборочный,4,2025-05-14,на доработке
17,80,1,Поверхностный,3,2025-06-03,устранён
18,199,1,Поверхностный,1,2025-10-28,устранён
19,195,4,Размерный,5,2025-01-02,устранён
20,30,1,Размерный,2,2025-02-13,устранён
21,78,6,Поверхностный,4,2025-10-09,устранён
22,48,4,Размерный,2,2025-08-22,списан
23,79,5,Сборочный,1,2025-09-11,устранён
24,130,4,Размерный,3,2025-02-15,на доработке
25,12,2,Размерный,4,2025-03-19,устранён
26,162,4,Геометрический,5,2025-07-11,устранён
27,18,4,Размерный,3,2025-09-03,устранён
28,51,3,Поверхностный,4,2025-06-04,на доработке
29,101,3,Геометрический,3,2025-05-23,устранён
30,122,5,Сборочный,5,2025-10-20,устранён
31,131,5,Поверхностный,1,2025-06-03,устранён
32,149,1,Сборочный,2,2025-02-04,устранён
33,14,2,Размерный,4,2025-04-29,устранён
34,169,2,Поверхностный,1,2025-05-25,на доработке
35,223,3,Геометрический,4,2025-12-25,на доработке
36,141,2,Поверхностный,5,2025-08-02,на доработке
37,82,5,Сборочный,2,2025-01-12,на доработке
38,98,6,Размерный,5,2025-11-03,устранён
39,185,4,Геометрический,2,2025-01-08,устранён
40,124,5,Размерный,2,2025-07-31,устранён
41,36,5,Поверхностный,4,2025-09-10,на доработке
42,182,2,Геометрический,5,2025-08-24,устранён
43,167,4,Размерный,1,2025-05-09,на доработке
44,38,6,Геометрический,4,2025-03-27,устранён
45,119,6,Поверхностный,1,2025-02-20,на доработке
46,152,3,Поверхностный,5,2025-09-05,устранён
47,57,6,Сборочный,1,2025-01-18,устранён
48,57,4,Размерный,4,2025-10-31,устранён
49,74,6,Геометрический,4,2025-02-01,списан
50,25,3,Сборочный,2,2025-02-26,устранён
51,126,5,Сборочный,1,2025-08-01,устранён
52,175,1,Геометрический,2,2025-03-25,устранён
53,114,5,Поверхностный,2,2025-04-20,устранён
54,72,5,Поверхностный,4,2025-11-05,устранён
55,180,1,Сборочный,2,2025-07-05,устранён
56,161,5,Размерный,1,2025-11-20,на доработке
57,210,5,Поверхностный,3,2025-10-06,устранён
