order_id,product_id,order_date,planned_finish_date,actual_finish_date,quantity,order_status
1,7,2025-01-01,2025-01-08,2025-01-18,118,выполнен
2,4,2025-01-04,2025-01-24,2025-01-10,404,выполнен
3,8,2025-01-07,2025-01-27,2025-01-13,424,выполнен
4,5,2025-01-10,2025-01-17,2025-01-30,330,в работе
5,7,2025-01-13,2025-01-21,2025-01-20,25,в работе
6,10,2025-01-16,2025-01-28,2025-02-06,495,в работе
7,3,2025-01-19,2025-01-29,2025-02-01,484,выполнен
8,7,2025-01-22,2025-02-03,2025-02-09,216,выполнен
9,8,2025-01-25,2025-01-30,2025-01-31,370,в работе
10,5,2025-01-28,2025-02-09,2025-02-18,152,закрыт
11,4,2025-01-31,2025-02-08,2025-02-12,377,выполнен
12,8,2025-02-03,2025-02-18,2025-02-13,278,в работе
13,8,2025-02-06,2025-02-11,2025-02-14,456,в работе
14,3,2025-02-09,2025-02-21,2025-02-26,42,в работе
15,6,2025-02-12,2025-02-20,2025-03-05,72,в работе
16,5,2025-02-15,2025-02-25,2025-03-11,184,в работе
17,2,2025-02-18,2025-03-02,2025-02-28,221,в работе
18,8,2025-02-21,2025-03-01,2025-03-12,477,в работе
19,6,2025-02-24,2025-03-14,2025-03-06,102,в работе
20,2,2025-02-27,2025-03-06,2025-03-19,164,закрыт
21,5,2025-03-02,2025-03-22,2025-03-24,104,новый
22,1,2025-03-05,2025-03-23,2025-03-24,97,выполнен
23,10,2025-03-08,2025-03-21,2025-03-18,476,выполнен
24,6,2025-03-11,2025-03-18,2025-03-28,385,закрыт
25,9,2025-03-14,2025-03-27,2025-04-04,20,в работе
26,1,2025-03-17,2025-04-03,2025-04-07,70,в работе
27,10,2025-03-20,2025-03-26,2025-04-01,192,закрыт
28,3,2025-03-23,2025-04-12,2025-04-01,224,закрыт
29,7,2025-03-26,2025-04-13,2025-04-01,279,закрыт
30,4,2025-03-29,2025-04-04,2025-04-08,465,в работе
31,9,2025-04-01,2025-04-07,2025-04-16,468,в работе
32,3,2025-04-04,2025-04-14,2025-04-14,388,выполнен
33,5,2025-04-07,2025-04-14,2025-04-16,307,закрыт
34,3,2025-04-10,2025-04-30,2025-04-17,53,выполнен
35,7,2025-04-13,2025-04-30,2025-04-28,367,выполнен
36,5,2025-04-16,2025-04-29,2025-05-10,114,в работе
37,9,2025-04-19,2025-04-27,2025-04-25,91,выполнен
38,7,2025-04-22,2025-04-27,2025-05-02,58,в работе
39,2,2025-04-25,2025-05-03,2025-05-13,173,в работе
40,4,2025-04-28,2025-05-03,2025-05-07,269,выполнен
41,9,2025-05-01,2025-05-19,2025-05-22,181,выполнен
